Ciphertext,Ciphertext Length,Entropy,Hex Ratio,Base64 Ratio,Repetition Rate,Alphabetic Ratio,Numeric Ratio,Algorithm
9HtvDQw6d0hnjkkokNpaAa7aO4zxbvPEfqpKr3PwnnMo6xtB3OlTug==,56,5.159771663013135,0.32142857142857145,1.0,0.05454545454545454,0.8214285714285714,0.14285714285714285,Blowfish
BDu9JxclhcofdpFkBRLTYVLD21dg2tqY/NFlN1CRpls=,44,4.80591144813358,0.38636363636363635,1.0,0.0,0.8409090909090909,0.11363636363636363,RC4
603b2ef6a5f42bb1924fea4d22f1af6b49cf8abfaf385f88c7e62b9aa360d79c,64,3.82695839910992,1.0,1.0,0.06349206349206349,0.46875,0.53125,SHA-256
7cJcDg85U4BuuCEreK+C7LouVenzQHJ8FFII3Ei2yp3Ud8zqXSAX6g==,56,5.137537511266055,0.44642857142857145,1.0,0.07272727272727272,0.75,0.19642857142857142,3DES
LMhm3BjIcUb/1eqdlvRyI/rcGWpF/2xvkdNsCosd+hIKdi536umsHwTozh0tNw5z,64,5.296569531114783,0.296875,1.0,0.0,0.8125,0.125,AES
B+V0ntV/EnW5jjlVirkx35nhDD/RugVBH7xOVAg8RiKjKJJRKUTrkQ==,56,4.867547949145273,0.21428571428571427,1.0,0.07272727272727272,0.8035714285714286,0.10714285714285714,Blowfish
/VqnpZoviIOFOlKecVwK5XFJqFSyXHjcLbcLljJw3y8=,44,4.743300368538956,0.25,1.0,0.0,0.8863636363636364,0.06818181818181818,RC4
TvHWKUO9Dfq7cU90L3WYAoEvIUtLGdDUgwCSMXSlPwk=,44,4.959431618637296,0.29545454545454547,1.0,0.0,0.8636363636363636,0.11363636363636363,ChaCha20
OSlCpnYrXw8Khz0dH9z9mN+I8KOnofuIAFAKI0Fj4G0=,44,4.817052925307969,0.3409090909090909,1.0,0.0,0.7727272727272727,0.18181818181818182,ChaCha20
c68f0e68898c773ee6ac45bc6dff845390ecb6db233f2ef1fb0f2ec5952bb96b,64,3.8094246578376945,1.0,1.0,0.09523809523809523,0.453125,0.546875,SHA-256
J1AGdHOTs0qmIjZACLdRvGR1kWvtEOy0CbA8LyVSn29etN1Co7TSUw==,56,5.12405737729885,0.35714285714285715,1.0,0.01818181818181818,0.8035714285714286,0.16071428571428573,Blowfish
h4jTmTVA6QMjmajTBah97vjSc+61uE85gs92e/WDuwIX0eParfnAa1P7F8JdubarsF10y8IvVgTlknQWWRtkhZr9ssTySvtzn5QP3X1WFl1a6NUlua7RNu/k16SoI7oJTgfvpczuWpJb7FZKksuYkfr1uYuF73JqqBdKAjsYPJzAkHNkBWeJhoRpVrspvlybEhzEvtbvyGM27VlMQBXQVvb5dcZWYx4qV7b0YK54ASbQc6wits8fYwBoNmo8zqM6XKjaSRfeiBDwsuTIlo2/AJUGTLDqq5pbEOYm28NEg1H2yrTKGor3vS09JcS/8rHIRGuwQn26vEyrArO1wLoAJA==,344,5.860791873250897,0.3430232558139535,1.0,0.014577259475218658,0.8168604651162791,0.16279069767441862,RSA
9uWnLcogsfhwvAuMM/bHCRAaUmI9RHXnc903/5qTI0pOQi2KyNuTug==,56,5.151017645233259,0.2857142857142857,1.0,0.03636363636363636,0.7857142857142857,0.14285714285714285,3DES
ure3ygHd9V5xKGCWraFwaPkAtbt45mahsd6UFUHjgXs=,44,4.942275084497218,0.38636363636363635,1.0,0.0,0.8409090909090909,0.13636363636363635,ChaCha20
QbBIRvwd0PKFHd8BQ9sH+STwKAo9lwhooDF8fdEKxmyGNrqZ5FzQpA==,56,5.083616975397235,0.35714285714285715,1.0,0.03636363636363636,0.8392857142857143,0.10714285714285714,3DES
PD3g3ke4N162B0UVvgXuomosHXVF7zJL/jOLc/K110EaMLuka0Ew1cQ3t1w4Sd32cxumtEItZ+MG+Aw9jGEX6Y1ybIjPL+1n4BsH2uMEULL6r1h+g8SsqyTbaJpC8cHcowDzm8kldiHjVLwrY5BImwaaBeJiUUIrWRKpgGFb4rnZGcqoiR+/zv7gqYZj1oXEoIdFGUQUuMLHYjxvAE9AIqijVYCnFnV/OwGnxWhywvvTv7LgqyCB9TOYz73GpBOBJF795Xci3wWsDcNh0ck4xdduULnX65KZ4HuTBfM/lPT4wJbo9NGznnWhJ7P/wAyWIksuoucqyZY5HzgJP7MOiw==,344,5.892590313712784,0.3168604651162791,1.0,0.023323615160349854,0.811046511627907,0.1511627906976744,RSA
sGFUAawocFyOK2skddvvyk2k94mrAyXfGFyFrGPtd6o=,44,4.498871107126151,0.38636363636363635,1.0,0.046511627906976744,0.8636363636363636,0.11363636363636363,ChaCha20
JeN8Nfb1H0yA/470hv862/9nVMdeuSgx23hx9S6tYuixANd/5r/UGA==,56,5.016914520155992,0.42857142857142855,1.0,0.01818181818181818,0.625,0.26785714285714285,3DES
0oq5OjjFHAvrIlBoHzx85r/KxRBcFiGhF/s6BqT60ac=,44,4.743300368538956,0.38636363636363635,1.0,0.023255813953488372,0.7727272727272727,0.1590909090909091,RC4
hZq+mCm8JvvbH/2vlrnVdOBc8Er9phx6IyfyiQS2Eko=,44,5.0331841754063085,0.3181818181818182,1.0,0.023255813953488372,0.7954545454545454,0.13636363636363635,ChaCha20
CTXS66uR1ezUwkH10EjMmn6jJDnKgO/mamJQeMyXaGo=,44,4.879664004902592,0.29545454545454547,1.0,0.023255813953488372,0.8181818181818182,0.13636363636363635,RC4
Wm+nEawin+vHQzYvzL+xEnkIo/UTKuoeIgFiEeR/ItZcnMYRspChLA==,56,5.0526288058702775,0.17857142857142858,1.0,0.01818181818181818,0.875,0.0,Blowfish
RP/8UDMEvvwgpV7aVVF8kvYHB/eyaRFI4Nd8nUAwBgeezqeCL6Do7abthShpFKylxJUuUjhiVfQS1kjK8tzARFzhJTaaoSmezN2tVp3q+xyxgmEYTNnOpe3q3Ndmb9ToA20/WNOhGjq2qzjS3oBdfnK9ytyFlT7q6VotfkjZnB9d7im2MuMeDDj0HbYfuR435zDA33jB1mnRr17ljRUzybwWISEZ8KrLx2p5G517BMJeAwACBzMmC0WoKEUZ3umtqK/x38vyeH1Lzzpj1nc3J8aBfA3mJIdd9Qhmdem6QL7fCn7NpjQUVnAkjHNqBh5qHsBNfI5LBrc8dCwjFqOXKA==,344,5.834251474550323,0.38372093023255816,1.0,0.026239067055393587,0.8197674418604651,0.15988372093023256,RSA
DD4Kjeezwv/99fO5vRbF1eUIHWPy5AAPK37ZLurIWJ6ROLHGGdbnLQEKta8fVh/TmveCiq8Mi/RsJrQhOPHGlpVNsLu3XzfUw3mmzyJjOlRRZ5lJhWLeEGziJ6quQw6KgBBbsLoYRDFnvqNliQVojlmxMjJA3W/XmSBlAXygCE//nMn8RL0/UN5stOEm+JGk0Ki+uVNG3mG+hPFJ9NexGbBr8RMZjp0vMHTXdkvg6ufgBVepkWXmd5IExX2UuXqqomWtnznSdd8F8vqtIMmCUFtUJm/lKPW4djVQVnYU12HGZf3GQif2hE9cuWFOq9bCNszxiXmp5RYvjXSsfnrVQw==,344,5.878240273792345,0.2703488372093023,1.0,0.03498542274052478,0.8517441860465116,0.11046511627906977,RSA
bOFpkNaMYzjNIZ5+XUGaHmjoWBb27f9xJfBFCQaBET3fSeR/qOIlbkl3mcgEVjdb,64,5.296569531114784,0.421875,1.0,0.0,0.875,0.09375,AES
SwGfsExh9Bv4UvvVzd7/97uDdtcs4nUQ3/eo14wWzV6/mAbEURKa6g==,56,5.110577243331646,0.4107142857142857,1.0,0.03636363636363636,0.7142857142857143,0.19642857142857142,DES
+b5WLRTIlOpDa7qj9HPMNPk8e/SmW6t6L8kfqzhMTgjIAAU5Vg/ueg==,56,5.151017645233258,0.2857142857142857,1.0,0.03636363636363636,0.7678571428571429,0.14285714285714285,3DES
1fitF7dgwrzMzVq0SKq1IDhmMdqLaloChaeAqs4q5w0=,44,4.8319397896728224,0.38636363636363635,1.0,0.0,0.8181818181818182,0.1590909090909091,ChaCha20
PckLOpbCVWZc54U+wQZw2PfQXlyMQ/CGhsEUAj8ipbR3ixFJpwRAiw==,56,5.088343091584563,0.2857142857142857,1.0,0.01818181818181818,0.8392857142857143,0.08928571428571429,3DES
08c698636362bf5890719130486de9c41d0553d8efaf74a657eb507feecb6df2,64,3.9262619244493573,1.0,1.0,0.031746031746031744,0.34375,0.65625,SHA-256
2wck/Ag8Db5OB1nEm/9usBGh8U5ZgmEpGWiFS+boou29GU9qUncMtA==,56,5.016914520155991,0.39285714285714285,1.0,0.03636363636363636,0.7321428571428571,0.17857142857142858,Blowfish
eS5QeGvl5xVegTXX4x72fFwVyGwOjryZBK0yc4X10uTV8O5dYQy7oQ==,56,4.918525680793011,0.35714285714285715,1.0,0.03636363636363636,0.75,0.21428571428571427,DES
pgcHjoH4NE7iDnQi9IPOiint9oV/PVvFBNSF53CpYgg=,44,4.760456902679034,0.29545454545454547,1.0,0.046511627906976744,0.8181818181818182,0.13636363636363635,ChaCha20
52c421a9a30bf08ff46b857bca629355720c762572d0db2ca172ca892ea1c2c9,64,3.802822322419824,1.0,1.0,0.031746031746031744,0.359375,0.640625,SHA-256
tfGJXfqld/uAOh2I3d+bH2aI31RtVgqDQsGMhPElVRY=,44,4.913977073182749,0.3181818181818182,1.0,0.0,0.8181818181818182,0.11363636363636363,ChaCha20
iEiU0JzdHq8kDti8GtGGXVdWiXHHqrnR8ycUDWYz/EUs9zZQbd/v7A==,56,4.869331261111521,0.2857142857142857,1.0,0.05454545454545454,0.8214285714285714,0.10714285714285714,3DES
tX43L3VuQ6odwVLaqVa4R0EvCV5Zgf2j2PEZJCUWVB9VNnKeQKaa2jpjW86G+xZ8KOsZAwNnypbOOuQDxoLSAKS2WXGz9QLaGPOEb/b49yHVNWMDRM7/er4FiegrMZlCQ+7JUScS9f8SBisAE3RGWFS3pXevQIb3Pp9ynMjDuPnqz3WYZRuNm9dKI4pmioYi8fXdipu4iJezDzW6ksf1kSceSfLKWd2/mCjj5+IL0BomXh9gu/Ou4wnr67AkrI4KpGzKnP8lI05tzoB3QfEsCLqoBj56LfTlilcW4ROvndVSWhlKfalKOzRYksnU0rHyyPC0kofL3vGvOmrEeAKhsA==,344,5.886364246975616,0.33430232558139533,1.0,0.014577259475218658,0.8226744186046512,0.1511627906976744,RSA
66ZkCiLnISjjbiddSewIBaFK0cV6dArrhI1h5Id2uhaFZ2yMllev4w==,56,4.92325179698034,0.42857142857142855,1.0,0.10909090909090909,0.8035714285714286,0.16071428571428573,Blowfish
776e66017b96a865222da16b1ec5338512028d149861f020d1f2e9e4fb591ff1,64,3.8170844233950865,1.0,1.0,0.09523809523809523,0.28125,0.71875,SHA-256
rKV0jltAxaRBpNn4+HEQfpl2u6gIyX5eRBRQlwg4rXpWDPCpSpho4bJpx6U+igip,64,5.145765086514733,0.28125,1.0,0.0,0.84375,0.125,AES
